asset,target_date,quote_date_used,source,value
5955,2022-07-15,2022-07-15,mirror,3588.0
4137,2022-07-24,2022-07-24,mirror,3715.0
4663,2022-07-24,2022-07-24,mirror,5044.0
4663,2022-07-24,2022-07-24,mirror,5044.0
4137,2022-07-24,2022-07-24,mirror,3715.0
4068,2022-07-28,2022-07-28,mirror,4322.0
5038,2022-07-28,2022-07-28,mirror,3008.0
4037,2022-07-28,2022-07-28,mirror,4696.0
7567,2022-07-28,2022-07-28,mirror,2245.0
4037,2022-07-28,2022-07-28,mirror,4696.0
7567,2022-07-28,2022-07-28,mirror,2245.0
4068,2022-07-28,2022-07-28,mirror,4322.0
5038,2022-07-28,2022-07-28,mirror,3008.0
5955,2022-08-11,2022-08-11,mirror,3518.0
6783,2022-08-11,2022-08-11,mirror,4490.0
6783,2022-08-11,2022-08-11,mirror,4490.0
5955,2022-08-11,2022-08-11,mirror,3518.0
947,2022-08-21,2022-08-21,mirror,1422.0
947,2022-08-21,2022-08-21,mirror,1422.0
1339,2022-08-26,2022-08-26,mirror,2271.0
1339,2022-08-26,2022-08-26,mirror,2271.0
6886,2022-08-27,2022-08-27,mirror,3256.0
6886,2022-08-27,2022-08-27,mirror,3256.0
5844,2022-09-01,2022-09-01,mirror,4131.0
5844,2022-09-01,2022-09-01,mirror,4131.0
5967,2022-09-20,2022-09-20,mirror,3466.0
5967,2022-09-20,2022-09-20,mirror,3466.0
7569,2022-09-20,2022-09-20,mirror,2396.0
7569,2022-09-20,2022-09-20,mirror,2396.0
7608,2022-09-21,2022-09-21,mirror,2826.0
7608,2022-09-21,2022-09-21,mirror,2826.0
6794,2022-09-24,2022-09-24,mirror,9827.0
2133,2022-09-24,2022-09-24,mirror,5480.0
2216,2022-09-24,2022-09-24,mirror,4478.0
4029,2022-09-24,2022-09-24,mirror,4807.0
96,2022-09-24,2022-09-24,mirror,3923.0
2133,2022-09-24,2022-09-24,mirror,5480.0
2216,2022-09-24,2022-09-24,mirror,4478.0
4029,2022-09-24,2022-09-24,mirror,4807.0
96,2022-09-24,2022-09-24,mirror,3923.0
6794,2022-09-24,2022-09-24,mirror,9827.0
4089,2022-09-27,2022-09-27,mirror,2327.0
4993,2022-09-27,2022-09-27,mirror,1898.0
4993,2022-09-27,2022-09-27,mirror,1898.0
4089,2022-09-27,2022-09-27,mirror,2327.0
7585,2022-09-28,2022-09-28,mirror,3019.0
7585,2022-09-28,2022-09-28,mirror,3019.0
5045,2022-09-28,2022-09-28,mirror,4624.0
6770,2022-09-28,2022-09-28,mirror,6674.0
6770,2022-09-28,2022-09-28,mirror,6674.0
5045,2022-09-28,2022-09-28,mirror,4624.0
4950,2022-10-06,2022-10-06,mirror,4518.0
6820,2022-10-06,2022-10-06,mirror,4183.0
4950,2022-10-06,2022-10-06,mirror,4518.0
6820,2022-10-06,2022-10-06,mirror,4183.0
2028,2022-10-19,2022-10-19,mirror,4099.0
2028,2022-10-19,2022-10-19,mirror,4099.0
7588,2022-10-23,2022-10-23,mirror,4779.0
6813,2022-10-23,2022-10-23,mirror,6929.0
6813,2022-10-23,2022-10-23,mirror,6929.0
7588,2022-10-23,2022-10-23,mirror,4779.0
3225,2022-10-27,2022-10-27,mirror,2859.0
3225,2022-10-27,2022-10-27,mirror,2859.0
7585,2022-11-04,2022-11-04,mirror,2360.0
4171,2022-11-04,2022-11-04,mirror,1311.0
4171,2022-11-04,2022-11-04,mirror,1311.0
7585,2022-11-04,2022-11-04,mirror,2360.0
8131,2022-11-08,2022-11-08,mirror,3237.0
8131,2022-11-08,2022-11-08,mirror,3237.0
5846,2022-11-24,2022-11-24,mirror,5332.0
5846,2022-11-24,2022-11-24,mirror,5332.0
5001,2022-11-28,2022-11-28,mirror,3350.0
7670,2022-11-28,2022-11-28,mirror,3162.0
8126,2022-11-28,2022-11-28,mirror,3211.0
7670,2022-11-28,2022-11-28,mirror,3162.0
8126,2022-11-28,2022-11-28,mirror,3211.0
5001,2022-11-28,2022-11-28,mirror,3350.0
7606,2022-11-30,2022-11-30,mirror,3423.0
7606,2022-11-30,2022-11-30,mirror,3423.0
1234,2022-11-30,2022-11-30,mirror,2916.0
8168,2022-11-30,2022-11-30,mirror,3026.0
8137,2022-11-30,2022-11-30,mirror,4942.0
8137,2022-11-30,2022-11-30,mirror,4942.0
1234,2022-11-30,2022-11-30,mirror,2916.0
8168,2022-11-30,2022-11-30,mirror,3026.0
6938,2022-11-30,2022-11-30,mirror,2254.0
6938,2022-11-30,2022-11-30,mirror,2254.0
3178,2022-12-01,2022-12-01,mirror,82.0
3178,2022-12-01,2022-12-01,mirror,82.0
2374,2022-12-02,2022-12-02,mirror,3057.0
2374,2022-12-02,2022-12-02,mirror,3057.0
7588,2023-01-10,2023-01-10,mirror,4964.0
7588,2023-01-10,2023-01-10,mirror,4964.0
7066,2023-01-19,2023-01-19,mirror,2258.0
7066,2023-01-19,2023-01-19,mirror,2258.0
4199,2023-01-27,2023-01-27,mirror,3482.0
8136,2023-01-27,2023-01-27,mirror,3669.0
8136,2023-01-27,2023-01-27,mirror,3669.0
4199,2023-01-27,2023-01-27,mirror,3482.0
8130,2023-03-09,2023-03-09,mirror,2906.0
8130,2023-03-09,2023-03-09,mirror,2906.0
2028,2023-03-23,2023-03-23,mirror,4110.0
4981,2023-03-23,2023-03-23,mirror,4140.0
6801,2023-03-23,2023-03-23,mirror,5659.0
6801,2023-03-23,2023-03-23,mirror,5659.0
2028,2023-03-23,2023-03-23,mirror,4110.0
4981,2023-03-23,2023-03-23,mirror,4140.0
2309,2023-05-05,2023-05-05,mirror,3890.0
2309,2023-05-05,2023-05-05,mirror,3890.0
4035,2023-05-25,2023-05-25,mirror,3052.0
4068,2023-05-25,2023-05-25,mirror,3218.0
7610,2023-05-25,2023-05-25,mirror,4063.0
