Team,Week,Year,PF,Win?,Opponent,Points against,Margin,Max PF,Efficiency,Number of Injuries,Number of suspensions,Number of players on bye,Largest deficit overcome (if win),Starter turnover from previous week,Difference in pregame avg max PF from opponent,UPST,Hardship,Tanking,Luck,Brosenzweig,Sisenzweig,Highest score?,Lowest score?,Narrowest victory?,Largest blowout?,Most efficient?,Least efficient?,Increase in points from previous week,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Number of transactions,Number of trades,Amount of FAAB spent,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams amoung rostered players,Number of rookies started,Number of rookies rostered,Player average age,Win streak,Loss streak,Win streak counting previous season,Loss streak counting previous season,Top half of league?,Difference between highest and lowest starters,Combined matchup score,Number of donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,Number of cuffs rostered,Number of cuffs started,Future draft capital,Startup draft players remaining,WeekNum,Week_Sort,Week_Group,_week_sort
AceMatthew,8,2022,130.26,0.0,stevenb123,184.72,-54.46,0.0,,0,0,0,,8.0,,0.0,0.0,,-0.2857,0,0,,,,,,,-23.080000000000013,2,4,2,1,4,9,8,2,1,0,0.0,2,2,,,,,,,,,8,17,0,0,25.31,0,3,,,,22.0,314.98,0,4,3,0,0,0,,,,,8,8,8,8
AceMatthew,9,2022,100.36,1.0,JacobRosenzweig,93.08,7.28,0.0,,0,0,2,,4.0,,0.0,0.0,,0.8571,0,1,,,,,,,-29.89999999999999,2,3,3,1,4,9,9,2,3,0,0.0,2,2,,,,,,,,,7,17,0,0,25.26,1,0,,,,25.48,193.44,0,4,1,0,0,0,,,,,9,9,9,9
AceMatthew,10,2022,139.56,0.0,LWebs53,165.72,-26.16,0.0,,0,0,3,,6.0,,0.0,0.0,,-0.7143,0,0,,,,,,,39.2,2,4,2,1,4,9,9,3,4,0,0.0,2,2,,,,,,,,,8,17,0,0,25.17,0,1,,,,15.7,305.28,0,2,3,0,0,0,,,,,10,10,10,10
AceMatthew,11,2022,149.24,1.0,Shmuel256,134.42,14.82,0.0,,0,0,2,,6.0,,0.0,0.0,,0.1429,0,0,,,,,,,9.680000000000007,2,4,2,1,4,10,8,3,2,0,0.0,2,2,,,,,,,,,8,17,0,0,24.96,1,0,,,,21.5,283.66,0,2,4,0,0,0,,,,,11,11,11,11
AceMatthew,12,2022,137.74,1.0,plehv79,126.4,11.34,0.0,,0,0,0,,4.0,,0.0,0.0,,0.7143,0,0,,,,,,,-11.5,2,3,3,1,3,10,9,3,4,1,0.0,1,2,,,,,,,,,9,17,0,0,24.89,2,0,,,,48.0,264.14,0,3,1,1,1,0,,,,,12,12,12,12
AceMatthew,13,2022,145.9,1.0,BROsenzweig,123.62,22.28,0.0,,0,0,0,,6.0,,0.0,0.0,,0.2857,0,0,,,,,,,8.159999999999997,2,3,3,1,3,12,8,2,6,0,0.0,2,3,,,,,,,,,8,16,0,0,24.59,3,0,,,,23.04,269.52,0,2,3,1,0,0,,,,,13,13,13,13
AceMatthew,14,2022,103.72,0.0,Oliverwkw,109.54,-5.82,0.0,,0,0,3,,10.0,,0.0,0.0,,-0.1429,0,0,,,,,,,-42.18000000000001,2,4,2,1,3,11,8,3,0,0,0.0,2,3,,,,,,,,,8,17,0,0,24.31,0,1,,,,18.8,213.26,0,4,0,0,0,0,,,,,14,14,14,14
AceMatthew,15,2022,126.24,0.0,stevenb123,136.2,-9.96,0.0,,0,0,0,,4.0,,0.0,0.0,,-0.2857,0,0,,,,,,,22.519999999999996,2,4,2,1,3,11,8,3,0,0,0.0,1,3,,,,,,,,,9,17,0,0,24.33,0,2,,,,15.5,262.44,0,2,2,0,0,0,,,,,15,15,15,15
AceMatthew,17,2022,135.66,1.0,Toilet Final,83.96,51.7,0.0,,0,0,2,,4.0,,0.0,0.0,,0.1429,0,0,,,,,,,9.420000000000002,2,3,3,1,3,11,8,3,0,0,0.0,1,3,,,,,,,,,9,17,0,0,24.37,1,0,,,,18.3,219.62,0,3,3,0,0,0,,,,,17,17,17,17
AceMatthew,Toilet Semis,2022,145.98,1.0,JacobRosenzweig,96.56,49.42,0.0,,0,0,0,,4.0,,0.0,0.0,,0.2857,0,0,,,,,,,10.319999999999993,2,3,3,1,3,11,8,3,0,0,0.0,1,3,,,,,,,,,9,17,0,0,24.35,2,0,,,,29.3,242.54,0,2,4,1,0,0,,,,,16,1001,16,1001
