Player,Year,Top Team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
Austin Ekeler,2022,,,,,,361.7,,,,,,,,,,,,,,,,,,,,,,,,,35.9,0.0
Austin Ekeler,2023,,,,,,173.5,,,,,,,,,,,,,,,,,,,,,,,,,26.4,0.0
Austin Ekeler,2024,,,,,,124.10000000000001,,,,,,,,,,,,,,,,,,,,,,,,,18.1,0.0
Austin Ekeler,2025,,,,,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,8.7,4.4
Bailey Zappe,2023,,,,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,7.24,7.24
Baker Mayfield,2021,,,,,,177.9,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0
Baker Mayfield,2022,,,,,,23.62,,,,,,,,,,,,,,,,,,,,,,,,,14.0,4.08
Baker Mayfield,2023,,,,,,262.88,,,,,,,,,,,,,,,,,,,,,,,,,29.04,0.0
Baker Mayfield,2024,,,,,,333.15999999999997,,,,,,,,,,,,,,,,,,,,,,,,,34.56,0.0
Baker Mayfield,2025,,,,,,235.26,,,,,,,,,,,,,,,,,,,,,,,,,26.66,0.0
Beaux Collins,2025,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,2.8,0.0
Ben Roethlisberger,2021,,,,,,11.02,,,,,,,,,,,,,,,,,,,,,,,,,11.02,11.02
Ben Sinnott,2024,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,8.6,0.0
Ben Sinnott,2025,,,,,,20.2,,,,,,,,,,,,,,,,,,,,,,,,,7.4,0.0
Bhayshul Tuten,2025,,,,,,79.3,,,,,,,,,,,,,,,,,,,,,,,,,15.4,-2.5
Bijan Robinson,2023,,,,,,219.2,,,,,,,,,,,,,,,,,,,,,,,,,27.3,0.0
Bijan Robinson,2024,,,,,,309.4,,,,,,,,,,,,,,,,,,,,,,,,,29.4,0.0
Bijan Robinson,2025,,,,,,322.6,,,,,,,,,,,,,,,,,,,,,,,,,35.8,0.0
Blake Corum,2024,,,,,,30.3,,,,,,,,,,,,,,,,,,,,,,,,,4.3,-0.4
Blake Corum,2025,,,,,,112.5,,,,,,,,,,,,,,,,,,,,,,,,,26.1,0.0
Bo Nix,2024,,,,,,280.66,,,,,,,,,,,,,,,,,,,,,,,,,29.76,0.0
Bo Nix,2025,,,,,,272.82,,,,,,,,,,,,,,,,,,,,,,,,,38.96,0.0
Brady Cook,2025,,,,,,13.18,,,,,,,,,,,,,,,,,,,,,,,,,8.94,0.0
Braelon Allen,2024,,,,,,80.9,,,,,,,,,,,,,,,,,,,,,,,,,19.6,0.0
Braelon Allen,2025,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,6.9,0.0
Brandin Cooks,2021,,,,,,226.2,,,,,,,,,,,,,,,,,,,,,,,,,29.2,0.0
Brandin Cooks,2022,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,18.7,0.0
Brandin Cooks,2023,,,,,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,32.3,0.0
Brandin Cooks,2024,,,,,,65.6,,,,,,,,,,,,,,,,,,,,,,,,,14.5,0.0
Brandon Aiyuk,2021,,,,,,152.6,,,,,,,,,,,,,,,,,,,,,,,,,21.5,0.0
Brandon Aiyuk,2022,,,,,,217.9,,,,,,,,,,,,,,,,,,,,,,,,,28.3,0.0
Brandon Aiyuk,2023,,,,,,243.7,,,,,,,,,,,,,,,,,,,,,,,,,32.9,0.0
Brandon Aiyuk,2024,,,,,,62.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,22.7,0.0
Brandon Aiyuk,2025,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Brandon Bolden,2021,,,,,,29.5,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.6
Brashard Smith,2025,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,13.1,-0.2
Braxton Berrios,2021,,,,,,25.7,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.7
Breece Hall,2022,,,,,,115.1,,,,,,,,,,,,,,,,,,,,,,,,,27.7,0.0
Breece Hall,2023,,,,,,259.5,,,,,,,,,,,,,,,,,,,,,,,,,43.1,0.0
Breece Hall,2024,,,,,,218.7,,,,,,,,,,,,,,,,,,,,,,,,,31.1,0.0
Breece Hall,2025,,,,,,186.76,,,,,,,,,,,,,,,,,,,,,,,,,32.86,0.0
Brenton Strange,2024,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.0
