Player,Top team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
Dan Arnold,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,13.7,0.0
Daniel Bellinger,,,,,,102.5,,,,,,,,,,,,,,,,,,,,,14.8,0.0
Daniel Jones,,,,,,857.22,,,,,,,,,,,,,,,,,,,,,36.18,0.0
Dare Ogunbowale,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,14.8,14.8
Darius Slayton,,,,,,92.6,,,,,,,,,,,,,,,,,,,,,15.0,1.4
Darnell Mooney,,,,,,600.7,,,,,,,,,,,,,,,,,,,,,31.5,0.0
Darrel Williams,,,,,,42.599999999999994,,,,,,,,,,,,,,,,,,,,,23.9,8.0
Darrell Henderson,,,,,,280.4,,,,,,,,,,,,,,,,,,,,,24.7,0.0
Darren Waller,,,,,,382.3,,,,,,,,,,,,,,,,,,,,,26.5,0.0
Davante Adams,,,,,,1348.2,,,,,,,,,,,,,,,,,,,,,42.8,0.0
David Bell,,,,,,45.4,,,,,,,,,,,,,,,,,,,,,6.3,0.0
David Johnson,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,11.8,1.1
David Montgomery,,,,,,931.04,,,,,,,,,,,,,,,,,,,,,34.1,0.0
David Njoku,,,,,,532.0,,,,,,,,,,,,,,,,,,,,,27.1,0.0
Davis Allen,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,2.4,0.0
Davis Mills,,,,,,205.56,,,,,,,,,,,,,,,,,,,,,19.4,-5.32
Dawson Knox,,,,,,248.9,,,,,,,,,,,,,,,,,,,,,21.8,0.0
De'Von Achane,,,,,,766.0,,,,,,,,,,,,,,,,,,,,,51.3,0.0
DeAndre Carter,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,16.4,6.3
DeAndre Hopkins,,,,,,663.7,,,,,,,,,,,,,,,,,,,,,34.8,-0.2
DeMario Douglas,,,,,,244.6,,,,,,,,,,,,,,,,,,,,,21.2,0.0
DeVante Parker,,,,,,102.19999999999999,,,,,,,,,,,,,,,,,,,,,17.7,0.0
