Year,Original Team,Number,Player Picked,Trade 1,Trade 2,Trade 3,Trade 4,Trade 5,Trade 6,Trade 7,Trade 8,Trade 9,Trade 10,etc
2021,LWebs53,R9.70,Tom Brady,,,,,,,,,,,
2021,Oliverwkw,R9.71,Justin Herbert,,,,,,,,,,,
2021,shmuel256,R9.72,DJ Chark,,,,,,,,,,,
2021,AceMatthew,R10.73,J.K. Dobbins,,,,,,,,,,,
2021,stevenb123,R10.74,Julio Jones,,,,,,,,,,,
2021,JacobRosenzweig,R10.75,Dak Prescott,,,,,,,,,,,
2021,BROsenzweig,R10.76,Carson Wentz,,,,,,,,,,,
2021,plehv79,R10.77,Deshaun Watson,,,,,,,,,,,
2021,LWebs53,R10.78,DJ Moore,,,,,,,,,,,
2021,Oliverwkw,R10.79,Henry Ruggs,,,,,,,,,,,
2021,shmuel256,R10.80,Latavius Murray,,,,,,,,,,,
2021,AceMatthew,R11.81,D'Andre Swift,,,,,,,,,,,
2021,stevenb123,R11.82,JuJu Smith-Schuster,,,,,,,,,,,
2021,JacobRosenzweig,R11.83,Antonio Brown,,,,,,,,,,,
2021,BROsenzweig,R11.84,Evan Engram,,,,,,,,,,,
2021,plehv79,R11.85,Cam Akers,,,,,,,,,,,
2021,LWebs53,R11.86,James Conner,,,,,,,,,,,
2021,Oliverwkw,R11.87,Michael Pittman,,,,,,,,,,,
2021,shmuel256,R11.88,Darnell Mooney,,,,,,,,,,,
2021,AceMatthew,R12.89,Jerry Jeudy,,,,,,,,,,,
2021,stevenb123,R12.90,Kenyan Drake,,,,,,,,,,,
2021,JacobRosenzweig,R12.91,Noah Fant,,,,,,,,,,,
2021,BROsenzweig,R12.92,Corey Davis,,,,,,,,,,,
2021,plehv79,R12.93,Tyler Boyd,,,,,,,,,,,
2021,LWebs53,R12.94,Raheem Mostert,,,,,,,,,,,
2021,Oliverwkw,R12.95,Mike Davis,,,,,,,,,,,
2021,shmuel256,R12.96,Chase Claypool,,,,,,,,,,,
2021,AceMatthew,R13.97,Laviska Shenault,,,,,,,,,,,
2021,stevenb123,R13.98,Jonnu Smith,,,,,,,,,,,
2021,JacobRosenzweig,R13.99,Hunter Henry,,,,,,,,,,,
2021,BROsenzweig,R13.100,Cole Beasley,,,,,,,,,,,
2021,plehv79,R13.101,Jalen Reagor,,,,,,,,,,,
2021,LWebs53,R13.102,Chase Edmonds,,,,,,,,,,,
2021,Oliverwkw,R13.103,Jarvis Landry,,,,,,,,,,,
2021,shmuel256,R13.104,T.Y. Hilton,,,,,,,,,,,
2021,AceMatthew,R14.105,Deebo Samuel,,,,,,,,,,,
2021,stevenb123,R14.106,Daniel Jones,,,,,,,,,,,
2021,JacobRosenzweig,R14.107,DeVante Parker,,,,,,,,,,,
2021,BROsenzweig,R14.108,Jamaal Williams,,,,,,,,,,,
2021,plehv79,R14.109,Clyde Edwards-Helaire,,,,,,,,,,,
2021,LWebs53,R14.110,Alexander Mattison,,,,,,,,,,,
2021,Oliverwkw,R14.111,Robert Tonyan,,,,,,,,,,,
2021,shmuel256,R14.112,James Robinson,,,,,,,,,,,
2021,AceMatthew,R15.113,Joe Burrow,,,,,,,,,,,
2021,stevenb123,R15.114,Devin Singletary,,,,,,,,,,,
2021,JacobRosenzweig,R15.115,Derek Carr,,,,,,,,,,,
2021,BROsenzweig,R15.116,Tarik Cohen,,,,,,,,,,,
2021,plehv79,R15.117,Odell Beckham,,,,,,,,,,,
2021,LWebs53,R15.118,Cole Kmet,,,,,,,,,,,
2021,Oliverwkw,R15.119,Darrell Henderson,,,,,,,,,,,
2021,shmuel256,R15.120,Ronald Jones,,,,,,,,,,,
2022,JacobRosenzweig,R1.1,Breece Hall,,,,,,,,,,,
2022,AceMatthew,R1.2,Drake London,,,,,,,,,,,
2022,BROsenzweig,R1.3,Kenneth Walker,,,,,,,,,,,
2022,Oliverwkw,R1.4,Treylon Burks,,,,,,,,,,,
2022,stevenb123,R1.5,Jameson Williams,,,,,,,,,,,
2022,stevenb123,R1.6,Garrett Wilson,,,,,,,,,,,
2022,AceMatthew,R1.7,Chris Olave,,,,,,,,,,,
2022,Shmuel256,R1.8,Skyy Moore,,,,,,,,,,,
2022,plehv79,R2.9,George Pickens,,,,,,,,,,,
2022,Shmuel256,R2.10,James Cook,,,,,,,,,,,
2022,BROsenzweig,R2.11,Kenny Pickett,,,,,,,,,,,
2022,Shmuel256,R2.12,Dameon Pierce,,,,,,,,,,,
2022,JacobRosenzweig,R2.13,Christian Watson,,,,,,,,,,,
2022,plehv79,R2.14,Rachaad White,,,,,,,,,,,
2022,stevenb123,R2.15,Tyler Allgeier,,,,,,,,,,,
2022,LWebs53,R2.16,Allen Lazard,,,,,,,,,,,
2022,JacobRosenzweig,R3.17,Jahan Dotson,,,,,,,,,,,
2022,AceMatthew,R3.18,Brian Robinson,,,,,,,,,,,
2022,stevenb123,R3.19,Jalen Tolbert,,,,,,,,,,,
2022,Shmuel256,R3.20,Romeo Doubs,,,,,,,,,,,
2022,Oliverwkw,R3.21,Isaiah Spiller,,,,,,,,,,,
2022,plehv79,R3.22,David Bell,,,,,,,,,,,
2022,AceMatthew,R3.23,Zamir White,,,,,,,,,,,
