Player-Week,Player-year,Player-all-time,team-week,team-year,team-all-time,league-week,league-year,league-all-time,add_drops,player_additions,trades,non_rookie_picks,rookie_picks,Formulas
Bench RB of the week streak,Starter PAR per game adjusted by position,Rostered scoring floor,Largest blowout streak,Times Highest score?,Points from QBs,Team age including picks,Player average age,Number of donuts,Injury adjusted % of starts made while rostered,Tanking,KTC value difference at end of season,Link to previous transaction,Link to previous transaction,
Bench WR of the week streak,Rostered scoring volatility,Rostered scoring ceiling,Most efficient streak,Times Lowest score?,Points from WRs,Difference between highest and lowest starters,Team age including picks,Number of starting donuts,KTC value of player added at deal time,KTC at pickup,KTC value difference 1 year later,,,
Bench TE of the week streak,Rostered scoring floor,Rostered boom %,Least efficient streak,Times Narrowest victory?,Points from TEs,Number of donuts,Difference between highest and lowest starters,Number of players under 10,KTC value of player dropped at deal time,KTC at end of season,KTC value difference 2 years later,,,
Highest starter on team streak,Rostered scoring ceiling,Rostered bust %,Top half streak,Times Largest blowout?,Points from RBs,Number of starting donuts,Number of donuts,Number of players over 20,Net KTC value at deal time,KTC 1 year after pickup,Link to next transaction per asset,,,
Lowest starter on team streak,Rostered boom %,Rostered upper quartile %,One-man army streak,Times Most efficient?,% of points from QBs,Number of players under 10,Number of starting donuts,Number of players over 30,KTC value of player added at end of season,KTC 2 years after pickup,Link to previous transaction per asset,,,
Captain streak,Rostered bust %,Rostered middle 50% %,Most bench points streak,Times Least efficient?,% of points from WRs,Number of players over 20,Number of players under 10,Number of players over 40,KTC value of player added 1 year later,KTC 3 years after pickup,Change in pick value at draft time,,,
10+ point streak,Rostered upper quartile %,Rostered lower quartile %,Bottom half streak,Times Top half of league?,% of points from TEs,Number of players over 30,Number of players over 20,Number of players over 50,KTC value of player added 2 years later,KTC 4 years after pickup,,,,
20+ point streak,Rostered middle 50% %,Rostered consistency percentile,150+ PF streak,Times One-man army?,% of points from RBs,Number of players over 40,Number of players over 30,% of starters boom,KTC value of player dropped at end of season,KTC change by end of season,,,,
30+ point streak,Rostered lower quartile %,Rostered floor percentile,Standings leader streak,Times Most bench points?,Drafting skill,Number of players over 50,Number of players over 40,% of starters upper quartile,KTC value of player dropped 1 year later,KTC change 1 year after pickup,,,,
40+ point streak,Rostered consistency percentile,Rostered ceiling percentile,Quiet streak,Times Most injured?,Trading skill,% of starters boom,Number of players over 50,% of starters middle 50%,KTC value of player dropped 2 years later,KTC change 2 years after pickup,,,,
50+ point streak,Rostered floor percentile,Consistency percentile,Win streak vs this opponent,Playoff appearance streak,Add/Drop skill,% of starters upper quartile,% of starters boom,% of starters lower quartile,Net KTC value at end of season,KTC change 3 years after pickup,,,,
Starter boom streak,Rostered ceiling percentile,Floor percentile,Most injured streak,Winning season streak,Times Brosenzweig,% of starters middle 50%,% of starters upper quartile,% of starters bust,Net KTC value 1 year later,KTC change 4 years after pickup,,,,
Starter upper quartile streak,Consistency percentile,Ceiling percentile,Number of QB started,Average weekly starter turnover,Times Sisenzweig,% of starters lower quartile,% of starters middle 50%,Number of cuffs rostered,Net KTC value 2 years later,Weeks between pickup and start,,,,
Starter middle 50% streak,Floor percentile,Weeks missed due to injury,Number of WR started,Average weekly roster turnover,Times Highest score?,% of starters bust,% of starters lower quartile,Number of cuffs started,Weeks between pickup and start,Link to next transaction,,,,
Starter lower quartile streak,Ceiling percentile,Weeks missed due to suspension,Number of RB started,Number of QB started,Times Lowest score?,Number of cuffs rostered,% of starters bust,Startup draft players remaining,Length of tenure on team,,,,,
Starter bust streak,Weeks missed due to injury,Weeks as starter,Number of TE started,Number of WR started,Times Narrowest victory?,Number of cuffs started,Number of cuffs rostered,Number of weeks missed due to injury,Link to next transaction (added player),,,,,
