Year,Number,Player Picked,Team,Original Team,Number of starts before next transaction,Number of trades,Commissioner moved?,Avg PPG on team,Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,Avg career PPG,Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,Player addition value,Pick-adjusted Difference in Player addition value,% of starts made while rostered by drafting team,Points added,Avg points added,Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,O-Score,Age when drafted,Cuff when drafted?,Tanking,Injury adjusted % of starts made while rostered by drafting team,KTC on draft day,Pick-adjusted Difference in KTC on draft day,KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,Length of tenure on team,Weeks before first start,Link to next transaction,Link to previous transaction
2021,4.01,Rondale Moore,JacobRosenzweig,stevenb123,2,1,False,7.76,8.18,0.4842,7.76,8.18,0.434,8.9681,-1.6245,0.0294,17.8,8.9,9.39,4.4655,52.4,21.22,False,0.0042,0.0526,3750.0,1164.35,3029.0,102.3,2805.0,137.2,2216.0,84.8125,1454.0,-708.0,1032.0,-948.1875,1287.0,26,#425,T#118
2021,4.02,Elijah Mitchell,JacobRosenzweig,JacobRosenzweig,2,0,False,11.67,11.7,4.3869,9.0,9.02,0.9207,14.0183,3.4072,0.0526,30.3,15.15,15.19,10.0222,71.2,23.33,False,0.0012,0.125,1465.0,-1191.425,4621.0,1653.775,3752.0,949.0,2099.0,-426.2188,936.0,-1544.625,1528.0,-6.5,771.0,8,T#125,
2021,4.03,Dyami Brown,AceMatthew,AceMatthew,0,0,False,,,,3.92,4.14,-3.105,,,,0.0,0.0,0.0,-3.503,30.6,21.83,False,0.0024,,2874.0,597.2,1197.0,-1451.125,1092.0,-1359.15,906.0,-1134.5938,1993.0,89.0833,1776.0,201.5625,0.0,,T#6,
2021,4.04,Brevin Jordan,BROsenzweig,BROsenzweig,0,0,False,5.0,6.01,2.1017,4.86,5.85,0.0975,6.01,0.4944,0.0,0.0,0.0,0.0,-1.4805,33.4,21.12,False,0.0052,0.0,876.0,-1566.4,1473.0,-793.4,1675.0,-504.375,548.0,-1242.2188,1074.0,-1114.5,904.0,-1862.5,446.0,,#209,
2021,4.05,Nico Collins,plehv79,plehv79,0,0,False,,,,13.56,14.3,9.1483,,,,0.0,0.0,0.0,-2.4055,65.2,22.45,False,0.0015,,2589.0,525.875,2191.0,382.325,2515.0,911.4,2496.0,931.6875,5879.0,4126.5833,6636.0,3801.0625,0.0,,T#300,
2021,4.06,Dee Eskridge,AceMatthew,LWebs53,0,1,False,3.8,4.01,-0.3575,1.63,1.72,-4.9765,4.01,-1.009,0.0,0.0,0.0,0.0,-2.3808,20.5,24.44,False,-0.001,0.0,0.0,-2111.2,0.0,-2129.475,0.0,-1876.9,0.0,-1477.3438,0.0,-1676.7917,0.0,-2846.75,38.0,,#37,T#5
2021,4.07,Jaret Patterson,Oliverwkw,Oliverwkw,0,0,False,3.66,3.67,-1.0193,3.68,3.69,-2.278,3.67,-1.3326,0.0,0.0,0.0,0.0,-3.1721,28.0,21.68,False,0.0028,0.0,1364.0,-678.575,1483.0,-645.8125,721.0,-1096.2625,421.0,-1131.75,348.0,-1023.25,0.0,-1381.6875,366.0,,#912,
2021,4.08,Kyle Trask,AceMatthew,shmuel256,0,1,False,0.0,0.0,-4.6893,0.1,0.09,-5.878,0.0,-5.0026,0.0,0.0,0.0,0.0,-3.1721,16.2,23.48,False,0.0003,,1546.0,-496.575,1445.0,-683.8125,1132.0,-685.2625,1168.0,-384.75,533.0,-838.25,0.0,-1381.6875,55.0,,#41,T#4
2022,1.01,Breece Hall,JacobRosenzweig,JacobRosenzweig,50,0,False,15.16,15.34,2.387,15.24,15.43,2.09,66.3455,24.4687,0.7353,748.66,14.97,15.16,2.588,83.3,21.24,False,0.0035,0.9259,5581.0,-1045.3,6223.0,-205.7,5973.0,-510.7,8016.0,1957.875,4978.0,-361.3333,5228.0,801.75,1413.0,2,T#152,
2022,1.02,Drake London,AceMatthew,AceMatthew,8,0,False,10.89,11.3,-2.5393,13.35,13.85,-0.31,20.8239,-22.9883,0.32,56.4,7.05,7.32,-6.582,52.7,21.09,False,0.0037,0.3333,5082.0,-1328.4667,5373.0,-1182.4667,5721.0,-808.0667,6354.0,-63.25,6731.0,896.5556,6856.0,2102.0,435.0,3,T#22,
2022,1.03,Kenneth Walker,BROsenzweig,BROsenzweig,41,0,False,13.86,14.03,0.4767,13.86,14.03,0.4053,48.7211,7.9268,0.6029,554.0,13.51,13.68,0.536,73.5,21.85,False,0.0055,0.7455,4573.0,-1330.2,5985.0,-600.9333,4948.0,-1542.8667,4863.0,-1357.8333,4852.0,-490.6667,5765.0,361.1667,1479.0,5,,
2022,1.04,Treylon Burks,Oliverwkw,shmuel256,3,2,False,7.39,7.67,-5.8233,5.17,5.36,-8.4733,10.6153,-29.5615,0.12,24.8,8.27,8.58,-5.644,17.3,22.43,False,0.0038,0.2143,4216.0,-1407.5333,4587.0,-1938.1333,3900.0,-2347.0,1577.0,-4695.5833,593.0,-5191.7778,1561.0,-3426.8333,430.0,12,T#250,T#236
