Player,Team,Year,Week,Week Name,Starter/Bench,Position started in (if starter),Position,Rookie?,Age,NFL team,Points,% of points (if starter),Positional scoring percentile,Difference from best startable bench (if starter),Difference from worst benchable starter (if bench),Reference player name,Difference in averages of best/worst startables over previous 5 games,Cuff adjusted difference,Player of the week?,QB of the week?,RB of the week?,WR of the week?,TE of the week?,Benchwarmer of the week?,Bench QB of the week?,Bench RB of the week?,Bench WR of the week?,Bench TE of the week?,Highest starter on team?,Lowest starter on team?,Captain?,Player of the week streak,QB of the week streak,RB of the week streak,WR of the week streak,TE of the week streak,Benchwarmer of the week streak,Bench QB of the week streak,Bench RB of the week streak,Bench WR of the week streak,Bench TE of the week streak,Highest starter on team streak,Lowest starter on team streak,Captain streak,10+ point streak,20+ point streak,30+ point streak,40+ point streak,50+ point streak,Starter boom streak,Starter upper quartile streak,Starter middle 50% streak,Starter lower quartile streak,Starter bust streak,Rostered boom streak,Rostered upper quartile streak,Rostered middle 50% streak,Rostered lower quartile streak,Rostered bust streak,Injury?,Suspension?,Bye?,Change from previous week,Change from previous 5 weeks avg,Change from career average to that point,Change from overall career average,Number of weeks on team,Number of consecutive weeks on bench before start (if starter),Number of consecutive weeks on bench before start excluding injury/bye (if starter),Total weeks as team starter,Total weeks as team starter this season,Weeks rostered by this team,Weeks rostered by this team this season,% of starts on team,% of starts on team this season,% of team points on team,% of team points on team this season,Total points as team starter,Total points as team starter this season,PPG as team starter,PPG as team starter this season,Total times highest starter on team,Total times highest starter on team this season,Total times lowest starter on team,Total times lowest starter on team this season,Total weeks on bench,Total weeks on bench this season,- Activated Cuff? (Was a player of the same nfl team/position & who averages >10 PPG more over last 5 played games injured? Only for players with avg <10 PPG),Number of transactions,Number of drops,Number of trades
A.J. Brown,plehv79,2021,5,Week 5,Bench,,WR,False,24.25,TEN,6.8,,20.7,,3.4,Clyde Edwards-Helaire,-4.77,-4.77,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,False,False,False,6.5,-2.4399999999999986,-8.006250000000001,-9.570588235294117,21,,,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,6,Week 6,Starter,WR3,WR,False,24.27,TEN,16.1,0.0972,63.1,-2.4,,Christian Kirk,5.16,5.16,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,In Progress,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False,False,False,9.3,8.580000000000002,1.7647058823529402,-0.2705882352941167,22,2.0,1.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,7,Week 7,Starter,WR3,WR,False,24.29,TEN,27.3,0.2152,91.6,12.3,,Christian Kirk,2.3,2.3,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,In Progress,0,0,In Progress,In Progress,0,0,0,In Progress,0,0,0,0,In Progress,0,0,0,0,False,False,False,11.2,18.22,12.866666666666664,10.929411764705883,23,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,8,Week 8,Starter,WR3,WR,False,24.31,TEN,31.5,0.1917,95.8,11.76,,Tyler Boyd,-1.48,-1.48,True,False,False,True,False,False,False,False,False,False,True,False,False,1,0,0,1,0,0,0,0,0,0,2,0,0,3,2,1,0,0,2,0,0,0,0,2,0,0,0,0,False,False,False,4.199999999999999,19.94,16.38947368421052,15.129411764705882,24,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,9,Week 9,Starter,WR3,WR,False,24.33,TEN,9.2,0.0846,31.2,-9.5,,Brandon Aiyuk,-9.48,-9.48,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False,False,False,-22.3,-7.199999999999999,-6.730000000000004,-7.170588235294119,25,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,10,Week 10,Starter,WR3,WR,False,24.34,TEN,3.3,0.0244,7.0,-9.5,,Christian Kirk,-4.48,-4.48,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False,False,False,-5.8999999999999995,-14.879999999999999,-12.309523809523814,-13.070588235294117,26,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,11,Week 11,Starter,WR3,WR,False,24.36,TEN,9.8,0.066,34.2,-11.7,,Brandon Aiyuk,-9.1,-9.1,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False,False,False,6.500000000000001,-7.68,-5.2500000000000036,-6.570588235294117,27,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,12,Week 12,Bench,,WR,False,24.38,TEN,0.0,,,,-2.3,DK Metcalf,3.54,3.54,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,,,,28,,,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,13,Week 13,Bench,,WR,False,24.4,TEN,0.0,,,,-4.2,Tyreek Hill,-2.56,-2.56,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,,,,,29,,,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,14,Week 14,Bench,,WR,False,24.42,TEN,0.0,,,,0.0,T.J. Hockenson,4.74,4.74,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,,,,30,,,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
