Player,Top team,Last team,Number of teams,Taxi-eligible,Points,Points (full career),Avg points,Avg points (full career),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of Add/Drops,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Championships rostered by,Championships started by,Championships started in,Total points as starter,% of league points,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
Ameer Abdullah,shmuel256,shmuel256,3,False,17.7,427.0,17.7,3.681,17.7,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,,,,,,,,,,,,17.7,17.7,0.0,0.0,0.0,100.0,0.0,,100.0,44.3,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,17.7,17.7,-17.7
Amon-Ra St. Brown,shmuel256,shmuel256,1,False,1425.88,1606.18,16.389425287356325,18.252,17.8235,2,0,0,6,0,0,0,0,0,0,15,3,1,0,0,0,9.71,0.0,41.4,21.5,3.1,24.6,44.6,6.2,897.87,13.81,9.96,0.0,41.4,17.5,5.0,22.5,43.8,11.2,3.0,38.0,94.4,14.1,19.3,92.7,2,0,65,22,87,0.7471,0.6615,0.5977,1,1,1,1272.18,0.0111,19.572,19.572,6.9864,10.2467,9.3253
Andrei Iosivas,LWebs53,LWebs53,2,False,116.7,265.3,6.483333333333333,5.8956,6.8647,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,5.2,0.0,16.2,0.0,29.4,0.0,41.2,29.4,65.8,38.0,37.2,,,,0,0,0,18,18,0.0,,0.3889,0,0,0,0.0,0.0,,,6.4833,6.8647,-6.8647
Andy Dalton,BROsenzweig,BROsenzweig,1,False,31.98,847.66,5.33,12.2849,6.396,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,8.19,-0.42,15.7,0.0,60.0,0.0,40.0,0.0,32.9,22.1,23.2,,,,1,0,0,6,6,0.0,,0.5,0,0,0,0.0,0.0,,,5.33,6.396,-6.396
Anthony Firkser,stevenb123,stevenb123,1,False,,309.7,,4.5544,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Anthony McFarland,plehv79,plehv79,1,False,15.1,34.3,1.1615384615384614,2.0176,1.6778,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,1.47,0.1,4.2,0.0,100.0,0.0,0.0,0.0,93.2,44.1,13.7,,,,3,0,0,13,13,0.0,,0.6154,0,0,0,0.0,0.0,,,1.1615,1.6778,-1.6778
Anthony Richardson,JacobRosenzweig,JacobRosenzweig,1,False,230.2,230.2,4.343396226415094,13.5412,9.5917,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9.65,3.42,28.6,0.0,25.0,25.0,37.5,12.5,57.43,7.18,9.98,-0.1,28.6,0.0,50.0,12.5,20.8,16.7,5.9,33.7,57.9,13.6,48.5,51.5,26,0,8,45,53,0.1509,0.25,0.3208,0,0,0,126.82,0.0011,15.8525,15.8525,2.2973,6.4612,9.3913
Anthony Schwartz,stevenb123,stevenb123,1,False,2.5,52.2,1.25,2.61,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,1.77,0.0,2.5,0.0,100.0,0.0,0.0,0.0,90.0,38.0,8.6,,,,0,0,0,2,2,0.0,,,1,0,0,0.0,0.0,,,1.25,1.25,-1.25
Antonio Brown,AceMatthew,AceMatthew,1,False,201.4,608.3,7.45925925925926,17.8912,14.3857,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,8.89,2.7,31.4,11.1,11.1,33.3,33.3,11.1,83.91,9.32,8.66,2.7,31.4,7.1,14.3,28.6,35.7,14.3,11.7,86.4,78.8,26.2,61.7,71.3,11,0,9,18,27,0.3333,0.4444,0.4074,0,0,0,145.8,0.0013,16.2,16.2,3.0889,11.12,5.08
Antonio Gibson,shmuel256,stevenb123,4,False,762.2,848.7,9.295121951219512,10.1036,10.5861,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,2,7.53,1.4,36.6,3.4,10.3,17.2,55.2,13.8,204.9,7.07,6.76,-0.3,36.6,1.4,20.8,9.7,41.7,26.4,43.2,10.4,90.6,40.0,25.4,87.9,5,0,29,53,82,0.3537,0.5172,0.5488,3,2,0,404.6,0.0035,13.9517,13.9517,6.7472,8.3163,5.6354
