Player,Top team,Last team,Number of teams,Taxi-eligible,Points,Points (full career),Avg points,Avg points (full career),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of Add/Drops,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Championships rostered by,Championships started by,Championships started in,Total points as starter,% of league points,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
Jimmy Garoppolo,Oliverwkw,Oliverwkw,3,False,271.54,849.0,8.759354838709678,12.4853,11.3142,0,0,0,0,0,1,0,0,0,0,1,2,0,10,5,0,9.29,-0.24,25.42,0.0,28.6,14.3,42.9,14.3,29.35,4.19,7.18,-0.24,25.42,0.0,29.2,4.2,50.0,16.7,62.4,28.4,47.4,18.6,5.9,47.1,6,0,7,24,31,0.2258,0.5714,0.7097,0,0,0,91.3,0.0008,13.0429,13.0429,7.51,10.6024,2.4405
Jimmy Graham,stevenb123,stevenb123,1,False,20.8,483.8,6.933333333333334,7.1147,6.9333,0,0,0,0,0,1,0,0,0,1,0,2,0,2,1,0,2.33,0.0,3.3,0.0,50.0,0.0,0.0,50.0,-2.23,-1.11,9.3,0.0,17.5,0.0,33.3,33.3,0.0,33.3,1.3,38.6,51.1,93.6,21.7,11.7,0,0,2,1,3,0.6667,,,0,0,0,3.3,0.0,1.65,1.65,17.5,17.5,-15.85
Jimmy Horn,LWebs53,LWebs53,1,False,0.0,26.7,0.0,2.225,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.4,38.0,3.0,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,0.0,0.0,0.0
Joe Burrow,AceMatthew,AceMatthew,2,False,1462.0,1627.86,14.194174757281553,18.711,18.987,2,7,0,0,0,0,3,0,0,0,17,2,4,0,0,1,8.95,2.32,39.24,18.3,11.7,8.3,53.3,8.3,589.31,9.82,8.34,2.32,39.24,14.3,10.4,7.8,58.4,9.1,28.2,74.7,90.5,25.4,35.3,86.8,20,0,60,43,103,0.5825,0.5167,0.534,1,1,1,1175.7,0.0102,19.595,19.595,6.6581,16.8412,2.7538
Joe Flacco,LWebs53,AceMatthew,4,False,271.24,689.02,13.562000000000001,12.5276,14.2758,0,0,0,0,0,0,1,0,0,0,1,0,0,12,6,2,2.27,20.66,24.82,0.0,0.0,66.7,33.3,0.0,32.74,10.91,10.19,0.0,30.7,5.3,26.3,21.1,31.6,15.8,4.7,47.4,63.2,96.6,100.0,44.1,0,0,3,17,20,0.15,,0.4,1,0,0,69.8,0.0006,23.2667,23.2667,11.8494,12.59,10.6767
Joe Milton,stevenb123,stevenb123,1,False,,29.56,,5.912,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Joe Mixon,AceMatthew,AceMatthew,2,False,1088.4,1738.84,10.776237623762377,16.2508,16.7446,1,0,3,0,0,0,0,3,0,0,9,3,1,1,1,2,9.48,1.2,55.1,13.5,1.9,15.4,51.9,17.3,492.98,9.48,9.5,1.2,55.1,15.4,1.5,13.8,52.3,16.9,8.4,65.1,99.1,10.9,19.6,98.6,30,0,52,49,101,0.5149,0.5577,0.604,2,2,1,845.0,0.0073,16.25,16.25,4.9673,18.7231,-2.4731
John Brown,AceMatthew,shmuel256,4,False,58.599999999999994,507.36,7.324999999999999,9.9482,9.7667,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,7.64,8.2,19.0,0.0,0.0,0.0,100.0,0.0,13.0,6.5,8.5,0.0,19.0,0.0,33.3,0.0,66.7,0.0,14.7,38.0,44.8,43.8,92.7,38.0,2,0,2,6,8,0.25,,0.5,0,0,0,27.2,0.0002,13.6,13.6,5.2333,7.85,5.75
John Metchie,LWebs53,LWebs53,4,False,53.3,177.1,1.9035714285714285,4.3195,4.8455,0,0,0,0,0,0,0,0,0,0,1,0,0,16,8,0,6.95,5.7,18.5,0.0,0.0,0.0,33.3,66.7,19.95,6.65,5.37,0.0,18.5,0.0,54.5,0.0,9.1,36.4,62.8,38.0,44.4,59.4,84.0,35.7,16,0,3,25,28,0.1071,,0.6786,2,0,0,31.6,0.0003,10.5333,10.5333,0.868,2.7125,7.8208
Johnny Wilson,LWebs53,LWebs53,1,False,0.0,14.8,0.0,1.3455,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,38.0,3.0,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,0.0,0.0,0.0
Jonah Coleman,JacobRosenzweig,JacobRosenzweig,2,True,14.8,14.8,7.4,7.4,7.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,10.47,0.0,14.8,0.0,50.0,0.0,50.0,0.0,2.6,29.5,37.5,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,7.4,7.4,-7.4
Jonathan Mingo,JacobRosenzweig,JacobRosenzweig,1,False,111.6,121.5,3.2823529411764705,3.4714,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,3.42,0.0,11.9,0.0,58.1,0.0,12.9,29.0,79.7,38.0,28.4,,,,2,0,0,34,34,0.0,,0.2647,0,0,0,0.0,0.0,,,3.2824,3.6,-3.6
Jonathan Taylor,plehv79,stevenb123,4,False,1474.6,1600.4,14.316504854368931,18.3954,18.2049,7,0,11,0,0,0,0,1,0,0,13,2,3,0,0,3,10.12,2.3,53.4,20.8,5.2,13.0,50.6,10.4,866.34,11.25,10.04,2.3,53.4,19.8,6.2,13.6,50.6,9.9,5.3,78.1,98.6,9.1,34.6,97.9,16,0,77,26,103,0.7476,0.5195,0.534,2,2,2,1414.6,0.0123,18.3714,18.3714,2.3077,15.0,3.3714
Jonathon Brooks,stevenb123,JacobRosenzweig,4,False,16.8,16.8,0.4666666666666667,3.36,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,3.56,-0.3,7.2,0.0,60.0,0.0,0.0,40.0,80.8,10.4,19.6,,,,29,0,0,36,36,0.0,,0.5556,1,0,0,0.0,0.0,,,0.4667,3.36,-3.36
Jonnu Smith,JacobRosenzweig,shmuel256,5,False,385.1,883.5,7.702000000000001,7.0119,8.5578,0,0,0,0,1,0,0,0,0,2,0,3,0,10,5,1,7.6,0.0,24.4,8.3,16.7,16.7,41.7,16.7,84.72,7.06,7.37,0.0,28.1,6.7,31.1,8.9,37.8,15.6,15.6,38.6,76.7,26.6,21.7,70.0,1,0,12,38,50,0.24,0.4167,0.52,2,0,0,135.0,0.0012,11.25,11.25,6.5816,7.5788,3.6712
Jordan Addison,Oliverwkw,Oliverwkw,2,False,554.5,578.9,10.462264150943396,11.8143,12.3222,0,0,0,1,0,1,0,0,2,0,3,3,0,0,0,1,8.86,0.0,39.3,7.7,7.7,11.5,53.8,19.2,189.44,7.29,8.61,0.0,39.3,8.9,11.1,6.7,53.3,20.0,12.6,38.0,91.6,27.3,19.3,88.0,2,3,26,27,53,0.4906,0.3462,0.3396,0,0,0,344.7,0.003,13.2577,13.2577,7.7704,11.0421,2.2156
Jordan Howard,Oliverwkw,Oliverwkw,1,False,6.7,385.9,6.7,9.1881,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,6.7,6.7,0.0,0.0,0.0,0.0,100.0,,95.3,17.9,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,6.7,6.7,-6.7
Jordan James,BROsenzweig,BROsenzweig,1,False,0.0,6.0,0.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,5,5,0.0,,0.6,0,0,0,0.0,0.0,,,0.0,,
Jordan Love,BROsenzweig,BROsenzweig,2,False,807.62,903.52,8.874945054945055,14.3416,10.3541,0,0,0,0,0,0,2,0,0,0,4,0,1,2,1,1,6.72,2.78,28.44,0.0,10.3,20.7,55.2,13.8,195.7,6.75,9.45,-0.3,28.44,0.0,43.6,11.5,34.6,10.3,15.3,25.8,56.8,67.8,45.6,50.0,8,0,29,62,91,0.3187,0.4828,0.5934,1,0,0,481.82,0.0042,16.6145,16.6145,5.2548,6.649,9.9655
Jordan Mason,AceMatthew,AceMatthew,2,False,242.4,329.5,6.551351351351352,5.5847,8.3586,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,0,7.27,1.8,24.0,0.0,11.1,22.2,55.6,11.1,49.03,5.45,6.69,0.0,24.0,0.0,41.4,10.3,34.5,13.8,45.8,29.5,55.2,46.4,29.6,54.3,6,0,9,28,37,0.2432,0.6667,0.5946,0,0,0,115.5,0.001,12.8333,12.8333,4.5321,6.345,6.4883
Jordan Travis,Oliverwkw,Oliverwkw,2,False,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,17,17,0.0,,0.4706,1,0,0,0.0,0.0,,,0.0,,
Jordan Watkins,shmuel256,shmuel256,1,False,,4.6,,2.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Jordan Whittington,BROsenzweig,BROsenzweig,1,False,40.2,97.3,2.2333333333333334,2.8618,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,,,,,,,,,,,4.99,0.0,15.9,0.0,73.3,0.0,13.3,13.3,68.4,38.0,35.8,,,,2,0,0,18,18,0.0,,0.6111,0,0,0,0.0,0.0,,,2.2333,2.68,-2.68
Jordan Wilkins,LWebs53,LWebs53,1,False,8.7,191.0,8.7,4.0638,8.7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,,8.7,8.7,0.0,0.0,0.0,0.0,100.0,3.04,3.04,,8.7,8.7,0.0,0.0,0.0,0.0,100.0,,98.1,25.0,,87.1,17.1,0,0,1,0,1,1.0,,,0,0,0,8.7,0.0001,8.7,8.7,,,8.7
Jordyn Tyson,JacobRosenzweig,JacobRosenzweig,1,True,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,0.0,,
Josh Allen,BROsenzweig,BROsenzweig,1,False,2290.72,3223.98,22.24,22.3888,23.6157,9,22,0,0,0,0,0,0,0,0,32,2,8,0,0,0,9.32,2.72,51.88,25.8,3.1,19.6,42.3,9.3,1309.11,13.5,9.32,2.72,51.88,25.8,3.1,19.6,42.3,9.3,16.5,83.7,100.0,16.9,44.1,100.0,0,0,97,6,103,0.9417,0.5155,0.5146,0,0,0,2290.72,0.0199,23.6157,23.6157,0.0,,23.6157
Josh Doctson,JacobRosenzweig,BROsenzweig,3,False,0.0,109.2,0.0,7.28,,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,1,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,19,19,0.0,,0.3684,0,0,0,0.0,0.0,,,0.0,,
Josh Downs,JacobRosenzweig,plehv79,2,False,460.1,496.9,8.681132075471698,10.1408,10.0022,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5.08,1.3,19.4,0.0,16.0,0.0,48.0,36.0,90.15,3.61,5.86,1.3,23.5,0.0,10.9,8.7,41.3,39.1,56.3,70.8,56.8,80.9,42.3,38.7,4,0,25,28,53,0.4717,0.36,0.283,0,0,0,225.8,0.002,9.032,9.032,8.3679,11.1571,-2.1251
Josh Gordon,AceMatthew,AceMatthew,3,False,3.8,226.6,0.38,6.8667,0.5429,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,,,,,,,,,,,0.93,0.0,2.1,0.0,100.0,0.0,0.0,0.0,94.8,38.0,7.8,,,,2,0,0,10,10,0.0,,0.4,0,0,0,0.0,0.0,,,0.38,0.5429,-0.5429
Josh Jacobs,AceMatthew,AceMatthew,1,False,1429.0,1725.1,13.87378640776699,15.9731,16.2386,1,0,4,0,0,0,0,1,0,0,12,6,3,0,0,0,8.51,1.3,48.3,11.0,4.9,17.1,54.9,12.2,765.27,9.33,8.49,1.3,48.3,11.4,4.5,17.0,55.7,11.4,16.3,67.7,96.7,22.7,22.1,95.7,7,2,82,21,103,0.7961,0.5,0.4854,0,0,0,1322.7,0.0115,16.1305,16.1305,5.0619,17.7167,-1.5862
Josh Reynolds,BROsenzweig,BROsenzweig,3,False,91.0,718.3,5.055555555555555,6.9738,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,,21.1,21.1,0.0,0.0,100.0,0.0,0.0,16.87,16.87,6.95,0.0,21.1,0.0,53.8,7.7,30.8,7.7,36.4,38.0,49.6,,98.7,44.0,3,0,1,17,18,0.0556,,0.5556,1,1,0,21.1,0.0002,21.1,21.1,4.1118,5.825,15.275
Josh Rosen,BROsenzweig,BROsenzweig,1,True,,115.66,,5.2573,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Joshua Dobbs,shmuel256,shmuel256,2,False,104.22,247.34,11.58,9.1607,13.0275,0,0,0,0,0,0,1,0,0,0,0,2,0,6,3,0,8.96,4.5,25.12,0.0,25.0,25.0,25.0,25.0,7.34,1.84,9.92,-0.02,25.12,0.0,37.5,25.0,25.0,12.5,7.1,35.8,46.3,23.7,60.3,45.6,1,0,4,5,9,0.4444,,0.8889,0,0,0,53.3,0.0005,13.325,13.325,10.184,12.73,0.595
Joshua Kelley,Oliverwkw,Oliverwkw,2,False,127.7,228.7,4.403448275862069,4.3981,4.9115,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,,10.9,10.9,0.0,0.0,0.0,100.0,0.0,5.77,5.77,4.04,0.6,13.5,0.0,73.1,0.0,23.1,3.8,76.1,57.1,34.2,,91.4,22.1,1,0,1,28,29,0.0345,,0.6897,0,0,0,10.9,0.0001,10.9,10.9,4.1714,4.672,6.228
Joshua Palmer,AceMatthew,BROsenzweig,3,False,427.2,554.4,6.890322580645161,7.8085,8.544,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,5.99,7.4,18.6,0.0,0.0,0.0,66.7,33.3,19.64,6.55,6.14,0.0,30.6,2.0,26.0,2.0,42.0,28.0,53.7,38.0,77.6,73.4,92.0,37.0,9,0,3,59,62,0.0484,,0.5645,1,0,0,35.3,0.0003,11.7667,11.7667,6.6424,8.3383,3.4284
JuJu Smith-Schuster,JacobRosenzweig,BROsenzweig,3,False,493.09999999999997,1119.7,6.663513513513513,9.9973,10.0633,0,0,0,0,0,0,0,0,0,0,4,7,0,5,3,0,7.02,2.6,24.9,0.0,16.7,16.7,41.7,25.0,138.73,5.78,7.37,0.0,25.4,0.0,28.6,14.3,34.7,22.4,28.6,38.0,62.2,57.8,60.3,52.7,20,0,24,50,74,0.3243,0.25,0.3378,1,0,0,285.3,0.0025,11.8875,11.8875,4.156,8.312,3.5755
Julian Edelman,JacobRosenzweig,JacobRosenzweig,1,False,56.22,591.42,3.51375,15.5637,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,8.91,2.3,25.9,0.0,16.7,16.7,16.7,50.0,10.4,83.4,63.2,,,,9,0,0,16,16,0.0,,0.375,0,0,0,0.0,0.0,,,3.5137,9.37,-9.37
Julio Jones,JacobRosenzweig,BROsenzweig,3,False,252.2,968.1,5.865116279069767,13.6352,10.9652,0,0,0,1,0,1,0,0,0,0,2,6,0,1,1,2,9.69,0.0,33.7,6.7,6.7,13.3,26.7,46.7,74.35,3.91,8.19,0.0,33.7,4.3,13.0,8.7,34.8,39.1,18.6,38.0,84.4,14.8,19.3,78.7,18,0,19,24,43,0.4419,0.2105,0.4651,0,0,0,190.8,0.0017,10.0421,12.72,2.5583,7.675,5.045
Justice Hill,LWebs53,stevenb123,4,False,197.5,458.9,5.642857142857143,4.988,6.5833,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,7.57,3.5,14.2,0.0,50.0,0.0,50.0,0.0,5.45,2.73,6.01,0.2,22.2,0.0,53.3,6.7,13.3,26.7,57.1,48.1,51.4,39.1,52.9,29.6,2,0,2,33,35,0.0571,,0.5429,2,0,0,17.7,0.0002,8.85,8.85,5.4485,6.4214,2.4286
Justin Fields,shmuel256,LWebs53,2,False,873.14,881.76,10.272235294117646,14.696,13.8594,1,3,0,0,0,0,4,0,0,0,6,5,0,1,1,2,10.63,0.16,42.72,10.3,20.7,17.2,41.4,10.3,236.75,8.16,10.5,0.0,42.72,7.9,33.3,11.1,33.3,14.3,3.5,47.4,96.8,3.4,16.2,95.6,17,0,29,56,85,0.3412,0.5172,0.6118,1,1,0,509.82,0.0044,17.58,17.58,6.4879,10.6859,6.8941
Justin Herbert,Oliverwkw,plehv79,3,False,1659.94,1818.3,16.435049504950495,18.183,18.0428,1,4,0,0,0,0,2,0,0,0,15,3,2,1,0,2,8.16,1.84,42.82,7.6,7.6,19.0,48.1,17.7,675.97,8.56,7.93,1.84,42.82,6.5,6.5,18.5,48.9,19.6,40.6,71.6,97.9,37.3,29.4,97.1,3,0,79,22,101,0.7822,0.5443,0.5743,0,0,0,1458.18,0.0127,18.458,18.458,9.1709,15.52,2.938
Justin Jackson,stevenb123,Oliverwkw,4,False,85.4,301.0,9.488888888888889,5.4727,14.2333,0,0,1,0,0,0,0,0,0,0,1,1,0,7,4,0,14.35,0.0,34.2,25.0,25.0,0.0,50.0,0.0,40.79,10.2,11.41,0.0,34.2,16.7,16.7,0.0,66.7,0.0,1.6,29.5,87.5,1.8,6.1,85.0,2,0,4,5,9,0.4444,,0.2222,0,0,0,61.9,0.0005,15.475,15.475,4.7,11.75,3.725
Justin Jefferson,AceMatthew,AceMatthew,4,False,1618.14,1753.56,15.710097087378642,17.8935,17.9793,2,0,0,8,0,0,0,0,2,0,14,8,0,0,0,3,9.16,2.4,39.4,20.7,3.7,20.7,43.9,11.0,1013.45,12.36,9.57,2.4,39.6,21.1,4.4,20.0,41.1,13.3,5.4,84.6,92.2,18.8,59.0,88.7,7,0,82,21,103,0.7961,0.622,0.6408,3,3,3,1492.94,0.013,18.2066,18.2066,5.9619,15.65,2.5566
Justin Watson,AceMatthew,LWebs53,2,False,7.3,302.2,2.433333333333333,3.6854,2.4333,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,4.21,0.0,7.3,0.0,66.7,0.0,0.0,33.3,75.8,38.0,19.6,,,,0,0,0,3,3,0.0,,,0,0,0,0.0,0.0,,,2.4333,2.4333,-2.4333
Justyn Ross,LWebs53,LWebs53,1,False,,11.3,,1.6143,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Juwan Johnson,AceMatthew,AceMatthew,4,False,226.4,619.1,6.658823529411765,7.6432,8.0857,0,0,0,0,0,0,0,0,0,2,0,1,0,13,6,0,8.07,0.0,14.4,0.0,33.3,0.0,66.7,0.0,17.7,5.9,6.41,0.0,22.7,3.6,25.0,7.1,46.4,17.9,36.4,38.6,63.6,19.1,21.7,39.2,4,0,3,31,34,0.0882,,0.6765,0,0,0,27.9,0.0002,9.3,9.3,6.4032,7.94,1.36
K.J. Osborn,JacobRosenzweig,JacobRosenzweig,5,False,134.8,456.8,3.9647058823529413,7.0277,5.6167,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,,3.7,3.7,0.0,100.0,0.0,0.0,0.0,-1.01,-1.01,5.84,0.0,20.5,0.0,50.0,4.2,29.2,16.7,56.7,38.0,47.6,,72.0,6.0,8,0,1,33,34,0.0294,,0.3529,0,0,0,3.7,0.0,3.7,3.7,3.9727,5.7,-2.0
Kadarius Toney,Oliverwkw,BROsenzweig,3,False,161.66,208.66,3.849047619047619,5.6395,6.2177,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,7.78,0.0,11.0,0.0,50.0,0.0,50.0,0.0,-0.03,-0.02,6.66,0.0,29.6,3.8,50.0,0.0,26.9,19.2,42.4,38.0,73.4,40.6,19.3,21.7,14,0,2,40,42,0.0476,,0.619,0,0,0,11.0,0.0001,5.5,5.5,3.7665,6.2775,-0.7775
Kaelon Black,Oliverwkw,Oliverwkw,1,True,10.5,10.5,5.25,5.25,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,3.89,2.5,8.0,0.0,50.0,0.0,0.0,50.0,78.4,79.7,22.6,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,5.25,5.25,-5.25
Kaleb Johnson,stevenb123,stevenb123,1,False,10.0,10.0,0.5263157894736842,0.8333,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1.01,-1.2,2.3,0.0,100.0,0.0,0.0,0.0,94.7,3.3,7.5,,,,2,0,0,19,19,0.0,,0.5263,0,0,0,0.0,0.0,,,0.5263,0.625,-0.625
Kalel Mullings,LWebs53,LWebs53,1,False,0.7,0.7,0.041176470588235294,0.175,0.0875,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,0.16,0.0,0.4,0.0,100.0,0.0,0.0,0.0,97.9,29.5,3.8,,,,8,0,0,17,17,0.0,,0.2941,0,0,0,0.0,0.0,,,0.0412,0.0875,-0.0875
Kalen Ballage,LWebs53,LWebs53,1,False,14.1,189.1,14.1,4.2977,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,14.1,14.1,0.0,0.0,0.0,100.0,0.0,,99.1,36.3,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,14.1,14.1,-14.1
Kalif Raymond,shmuel256,shmuel256,1,False,4.2,566.8,4.2,5.3472,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,,4.2,4.2,0.0,0.0,0.0,0.0,100.0,,93.2,12.8,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,4.2,4.2,-4.2
Kareem Hunt,AceMatthew,AceMatthew,4,False,786.7,1276.2,8.459139784946236,11.4973,10.4893,0,0,0,0,0,0,0,4,0,0,1,1,0,7,4,2,5.54,4.6,25.9,0.0,4.0,4.0,72.0,20.0,143.52,5.74,6.71,0.2,27.5,2.7,24.0,5.3,48.0,20.0,44.2,48.1,69.8,71.8,63.6,61.4,12,0,25,68,93,0.2688,0.52,0.4624,0,0,0,331.9,0.0029,13.276,13.276,6.6882,9.096,4.18
KaVontae Turpin,stevenb123,stevenb123,2,False,10.5,247.7,5.25,3.5386,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,1.63,4.1,6.4,0.0,50.0,0.0,0.0,50.0,90.5,92.8,16.8,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,5.25,5.25,-5.25
Kayshon Boutte,AceMatthew,AceMatthew,2,False,128.8,291.5,5.6000000000000005,7.6711,7.1556,0,0,0,0,0,1,0,0,1,0,0,1,0,5,2,0,,1.6,1.6,0.0,100.0,0.0,0.0,0.0,-5.01,-5.01,5.58,0.0,20.5,0.0,44.4,5.6,27.8,22.2,60.2,38.0,47.6,,48.0,4.0,3,0,1,22,23,0.0435,,0.6522,0,0,0,1.6,0.0,1.6,1.6,5.7818,7.4824,-5.8824
Kaytron Allen,shmuel256,shmuel256,1,True,4.0,4.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.57,1.6,2.4,0.0,100.0,0.0,0.0,0.0,96.3,72.2,8.0,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,2.0,2.0,-2.0
KC Concepcion,AceMatthew,AceMatthew,1,True,16.0,16.0,8.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0.28,7.8,8.2,0.0,0.0,0.0,100.0,0.0,97.8,98.4,21.8,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,8.0,8.0,-8.0
KeAndre Lambert-Smith,plehv79,plehv79,1,False,1.1,16.1,0.11000000000000001,1.61,0.1833,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,0.45,0.0,1.1,0.0,100.0,0.0,0.0,0.0,96.1,38.0,5.6,,,,4,0,0,10,10,0.0,,0.5,0,0,0,0.0,0.0,,,0.11,0.1833,-0.1833
Keaontay Ingram,plehv79,LWebs53,3,False,8.5,32.1,1.2142857142857142,1.6895,1.4167,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,,,,,,,,,,,2.8,0.0,7.1,0.0,83.3,0.0,0.0,16.7,84.7,29.5,18.6,,,,0,0,0,7,7,0.0,,0.2857,1,0,0,0.0,0.0,,,1.2143,1.4167,-1.4167
Keaton Mitchell,stevenb123,plehv79,3,False,113.4,136.9,2.7,5.0704,5.1545,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,,,,,,,,,,,3.97,0.0,13.6,0.0,54.5,0.0,18.2,27.3,76.8,29.5,35.1,,,,18,0,0,42,42,0.0,,0.5714,1,0,0,0.0,0.0,,,2.7,5.1545,-5.1545
Keelan Cole,shmuel256,stevenb123,2,False,10.5,431.2,5.25,6.3412,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,8.3,8.3,0.0,0.0,0.0,100.0,0.0,2.44,2.44,4.31,2.2,8.3,0.0,50.0,0.0,50.0,0.0,74.9,82.4,22.4,,93.3,14.0,0,0,1,1,2,0.5,,,1,1,0,8.3,0.0001,8.3,8.3,2.2,2.2,6.1
Keenan Allen,LWebs53,AceMatthew,2,False,1250.36,1876.96,12.37980198019802,15.3849,15.4365,4,0,0,5,0,0,0,0,2,0,7,4,1,1,1,1,8.4,5.7,44.46,13.7,0.0,27.5,51.0,7.8,600.35,11.77,8.56,2.6,44.46,9.9,4.9,24.7,43.2,17.3,13.6,85.8,96.0,34.4,84.0,94.7,14,0,51,50,101,0.505,0.6667,0.6634,2,2,1,905.66,0.0079,17.758,17.758,6.894,11.49,6.268
Keke Coutee,stevenb123,stevenb123,1,False,23.700000000000003,228.0,11.850000000000001,7.3548,11.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3.46,9.4,14.3,0.0,0.0,0.0,100.0,0.0,11.98,5.99,3.46,9.4,14.3,0.0,0.0,0.0,100.0,0.0,79.2,99.0,32.6,89.1,94.7,28.0,0,0,2,0,2,1.0,,,0,0,0,23.7,0.0002,11.85,11.85,,,11.85
