Player,Year,Top Team,Last team,Rookie?,Age,Points,Points (full season),Avg points,Avg points (full season),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of teams,Number of transactions,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Total points as starter,% of league points,Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
Adonai Mitchell,2025,BROsenzweig,BROsenzweig,False,23.05,87.89999999999999,87.9,5.170588235294117,5.4937,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,,,,,,,,,,,6.86,0.0,24.2,0.0,60.0,6.7,13.3,20.0,39.2,23.7,70.6,,,,2,0,0,17,17,0.0,,0.6471,0.0,0.0,35.14000000000001,2.3901999999999997,35.14,2.3902,,,5.1706,5.86,-5.86
Adrian Peterson,2020,stevenb123,stevenb123,False,35.47,4.1,124.5,4.1,7.7812,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,4.1,4.1,0.0,100.0,0.0,0.0,0.0,-2.23,-2.23,,4.1,4.1,0.0,100.0,0.0,0.0,0.0,,60.5,6.2,,30.0,8.3,0,0,1,0,1,1.0,1.0,1.0,4.1,0.0002,,,-43.5,-3.0575,4.1,4.1,,,4.1
Adrian Peterson,2021,stevenb123,stevenb123,False,36.59,9.6,25.6,4.8,6.4,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,0,,,,,,,,,,,,9.6,9.6,0.0,0.0,0.0,100.0,0.0,,96.3,13.6,,,,1,0,0,2,2,0.0,,0.5,0.0,0.0,-98.9,-1.3811999999999998,-127.9,-3.3979,,,4.8,9.6,-9.6
Aidan O'Connell,2023,stevenb123,stevenb123,True,25.21,100.96000000000001,123.82,10.096,11.2564,11.2178,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,,,,,,,,,,,7.58,2.08,25.92,0.0,33.3,11.1,22.2,33.3,39.5,31.4,52.0,,,,0,0,0,10,10,0.0,,0.6,0.0,0.0,,,,,,,10.096,11.2178,-11.2178
Aidan O'Connell,2024,stevenb123,stevenb123,False,26.11,13.16,93.58,6.58,10.3978,6.58,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,,,,,,,,,,,6.36,2.08,11.08,0.0,50.0,0.0,0.0,50.0,70.7,29.1,9.3,,,,0,0,0,2,2,0.0,,1.0,0.0,0.0,-30.239999999999995,-0.8585999999999991,-30.24,-0.8586,,,6.58,6.58,-6.58
AJ Barner,2024,Oliverwkw,Oliverwkw,True,22.64,0.0,78.5,0.0,5.2333,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0.0,,1.0,0.0,0.0,,,,,,,0.0,,
AJ Barner,2025,LWebs53,LWebs53,False,23.54,89.8,163.2,8.163636363636364,8.16,8.98,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,0,,3.8,3.8,0.0,0.0,0.0,0.0,100.0,-0.78,-0.78,4.82,1.9,16.1,0.0,10.0,10.0,50.0,30.0,63.6,64.1,41.3,,54.8,12.9,0,0,1,10,11,0.0909,0.0,0.5455,3.8,0.0002,84.69999999999999,2.9267000000000003,84.7,2.9267,3.8,3.8,8.6,9.5556,-5.7556
AJ Dillon,2020,plehv79,plehv79,True,22.48,40.0,47.0,2.5,4.2727,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,8.55,0.3,25.9,0.0,87.5,12.5,0.0,0.0,15.2,8.6,66.7,,,,7,0,0,16,16,0.0,,0.5625,0.0,0.0,,,,,,,2.5,5.0,-5.0
AJ Dillon,2021,LWebs53,LWebs53,False,23.49,176.9,193.1,10.405882352941177,10.7278,11.0563,0,0,0,0,0,0,0,2,0,0,0,1,0,3,1,1,2,,15.7,15.7,0.0,0.0,0.0,100.0,0.0,8.87,8.87,7.7,-1.2,26.8,6.2,25.0,6.2,37.5,25.0,41.4,1.2,69.1,,92.7,25.5,0,0,1,16,17,0.0588,1.0,0.8235,15.7,0.0008,146.1,6.4551,146.1,6.4551,15.7,15.7,10.075,10.7467,4.9533
AJ Dillon,2022,LWebs53,LWebs53,False,24.49,163.3,166.6,9.605882352941178,9.8,10.2063,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,22.1,22.1,0.0,0.0,100.0,0.0,0.0,16.73,16.73,6.64,1.5,22.1,0.0,18.8,18.8,31.2,31.2,49.3,50.6,51.9,,100.0,60.0,0,0,1,16,17,0.0588,1.0,0.8235,22.1,0.0012,-26.5,-0.9277999999999995,46.55,1.5207,22.1,22.1,8.825,9.4133,12.6867
