Year,Number,Player Picked,Team,Original Team,Number of starts before next transaction,Number of trades,Commissioner moved?,Avg PPG on team,Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,Avg career PPG,Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,Player addition value,Pick-adjusted Difference in Player addition value,% of starts made while rostered by drafting team,Points added,Avg points added,Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,O-Score,Age when drafted,Cuff when drafted?,Tanking,Injury adjusted % of starts made while rostered by drafting team,KTC on draft day,Pick-adjusted Difference in KTC on draft day,KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,Length of tenure on team,Weeks before first start,Link to next transaction,Link to previous transaction
2021,2.01,Justin Fields,LWebs53,stevenb123,0,1,False,5.81,4.88,-5.2524,14.75,12.41,3.5404,4.88,-15.4986,0.0,0.0,0.0,0.0,-7.3385,44.3,22.49,False,0.0101,0.0,6576.0,1887.4375,5959.0,651.275,4768.0,-449.25,7222.0,3367.5625,2685.0,-400.7917,3609.0,1904.25,55.0,,T#157,T#155
2021,2.02,Zach Wilson,JacobRosenzweig,JacobRosenzweig,4,0,False,11.27,9.48,-1.1389,9.62,8.09,-1.5333,12.6134,-9.6696,0.1176,59.92,14.98,12.6,3.864,36.3,22.07,False,0.003,0.1905,5848.0,1258.4167,4725.0,-522.825,3723.0,-1284.4,1451.0,-2996.7188,891.0,-3208.7083,981.0,-2483.625,652.0,13,#392,
2021,2.03,DeVonta Smith,AceMatthew,AceMatthew,40,0,False,13.57,14.31,3.7777,13.37,14.1,5.6344,46.8115,25.2198,0.7843,518.9,12.97,13.68,3.9979,89.8,22.79,False,0.0011,0.8333,5043.0,760.375,5174.0,754.125,4596.0,373.35,6377.0,3042.1562,5600.0,2328.6667,4976.0,3069.75,988.0,1,T#23,
2021,2.04,Trey Sermon,BROsenzweig,BROsenzweig,1,0,False,4.04,4.05,-5.5914,3.07,3.08,-4.7315,4.2525,-18.2611,0.05,0.0,0.0,0.0,-8.1308,9.0,22.58,False,0.003,0.0,4219.0,213.1042,1755.0,-2600.2,1327.0,-2776.1,499.0,-2627.875,1412.0,-1300.1667,785.0,-1908.375,395.0,8,#190,
2021,2.05,Elijah Moore,plehv79,plehv79,0,0,False,,,,7.43,7.84,1.0733,,,,0.0,0.0,0.0,-5.7054,37.3,21.42,False,0.003,,4579.0,816.5208,4983.0,1137.425,4654.0,956.675,3347.0,645.0938,1660.0,-305.5833,1683.0,-49.125,0.0,,T#293,
2021,2.06,Rashod Bateman,AceMatthew,LWebs53,8,1,False,6.9,7.28,-0.6134,7.55,7.97,1.1221,10.5275,-2.9737,0.1569,74.3,9.29,9.8,4.734,63.5,21.75,False,0.0024,0.25,3840.0,415.9167,3975.0,45.525,4557.0,718.05,3097.0,457.1875,2149.0,541.5833,2712.0,1402.875,1036.0,8,T#27,T#5
2021,2.07,Kadarius Toney,Oliverwkw,Oliverwkw,2,0,False,7.78,8.2,-0.4741,5.75,6.06,-1.0815,10.0177,-3.1673,0.069,11.0,5.5,5.8,0.8258,38.9,22.59,False,0.0015,0.1429,2589.0,-740.8125,3533.0,-366.5607,3498.0,-213.3393,2721.0,232.5938,258.0,-1761.4167,0.0,-1335.375,458.0,10,T#235,
2021,2.08,Michael Carter,LWebs53,shmuel256,0,1,False,10.05,10.08,0.8346,7.77,7.79,1.2144,10.08,-5.3745,0.0,0.0,0.0,0.0,-5.1106,37.9,22.31,False,0.0104,0.0,3448.0,43.8958,4219.0,188.3679,2691.0,-1133.4179,1107.0,-1606.1875,956.0,-564.0417,849.0,176.25,55.0,,T#157,T#156
2021,3.01,Mac Jones,stevenb123,stevenb123,0,0,False,13.11,11.03,1.2206,11.3,9.5,2.8367,11.03,-6.295,0.0,0.0,0.0,0.0,-5.2646,35.8,22.98,False,0.001,0.0,5136.0,1812.2708,5031.0,1075.7393,4337.0,597.2857,3267.0,597.8438,1033.0,-887.1667,1228.0,-256.125,281.0,,T#367,
2021,3.02,Pat Freiermuth,JacobRosenzweig,JacobRosenzweig,11,0,False,8.8,10.57,1.4277,8.8,10.57,3.4329,13.841,-4.9638,0.1294,102.4,9.31,11.19,5.8635,47.7,22.84,False,0.0019,0.1594,3235.0,-22.9583,3741.0,23.425,3443.0,-88.375,3710.0,208.8125,2793.0,-33.5,2290.0,-1506.75,1820.0,7,,
2021,3.03,Amon-Ra St. Brown,shmuel256,AceMatthew,63,1,False,17.95,18.93,10.9489,17.95,18.93,12.564,59.9281,46.3281,0.7412,1208.28,19.18,20.23,15.484,98.7,21.85,False,0.0009,0.8182,2779.0,-263.4375,4491.0,1429.075,4623.0,1687.125,7183.0,4106.5625,8712.0,5926.0,7370.0,4341.75,1820.0,15,,T#355
2021,3.04,Terrace Marshall,BROsenzweig,BROsenzweig,1,0,False,4.56,4.81,-1.3298,4.03,4.25,-1.3208,4.9515,-6.2168,0.0294,0.0,0.0,0.0,-3.0325,18.0,21.22,False,0.005,0.0,4142.0,1227.1667,2014.0,-657.575,1570.0,-825.675,1489.0,-1424.7812,816.0,-1767.5833,872.0,-2109.75,737.0,11,#219,
2021,3.05,Amari Rodgers,plehv79,plehv79,0,0,False,,,,1.57,1.66,-2.9596,,,,0.0,0.0,0.0,-1.9013,14.2,21.93,False,0.0023,,2318.0,-570.3333,1196.0,-1301.525,1329.0,-916.25,537.0,-1816.9062,0.0,-1595.3333,0.0,-1257.75,0.0,,T#293,
2021,3.06,Rhamondre Stevenson,shmuel256,LWebs53,16,1,False,12.05,12.08,6.7949,12.26,12.29,7.7169,25.5538,17.6186,0.4103,237.0,14.81,14.85,13.0806,83.7,23.51,False,-0.0007,0.5,2892.0,146.8333,3325.0,759.25,3655.0,1376.6,4637.0,2565.0938,3326.0,2010.0417,2482.0,274.875,775.0,9,T#179,T#359
2021,3.07,Chuba Hubbard,Oliverwkw,Oliverwkw,4,0,False,8.11,8.13,2.444,10.19,10.22,5.4131,17.7211,9.6815,0.2353,41.5,10.38,10.4,8.2648,83.4,22.22,True,0.002,0.2667,2057.0,-696.2083,2241.0,-420.675,1589.0,-790.775,1430.0,-547.0625,2352.0,596.0833,4231.0,1767.375,378.0,3,#892,
2021,3.08,Kenny Gainwell,shmuel256,shmuel256,0,0,False,9.34,9.37,2.9995,7.18,7.2,1.8171,9.37,1.0633,0.0,0.0,0.0,0.0,-3.3602,36.8,22.46,False,0.0003,0.0,2511.0,-195.8333,2349.0,-357.05,2564.0,70.025,2303.0,393.1875,1285.0,-431.0,1267.0,-1023.375,59.0,,T#363,
2021,4.01,Rondale Moore,JacobRosenzweig,stevenb123,2,1,False,7.76,8.18,0.4561,7.76,8.18,1.7396,8.8638,-1.2662,0.0294,17.8,8.9,9.39,5.2863,55.9,21.22,False,0.0042,0.0526,3750.0,1179.6667,3029.0,102.3,2805.0,137.2,2216.0,84.8125,1454.0,-708.0,1032.0,-274.125,1287.0,26,#411,T#116
2021,4.02,Elijah Mitchell,JacobRosenzweig,JacobRosenzweig,2,0,False,11.67,11.7,4.3681,9.0,9.02,2.2771,13.8553,3.6634,0.0526,30.3,15.15,15.19,10.8835,72.9,23.33,False,0.0012,0.125,1465.0,-1122.4167,4621.0,1653.775,3752.0,949.0,2099.0,-426.2188,936.0,-1544.625,1528.0,93.0,771.0,8,T#123,
2021,4.03,Dyami Brown,AceMatthew,AceMatthew,0,0,False,,,,3.98,4.2,-1.7867,,,,0.0,0.0,0.0,-2.9192,34.8,21.83,False,0.0024,,2874.0,547.5,1197.0,-1451.125,1092.0,-1359.15,906.0,-1134.5938,1993.0,89.0833,1776.0,420.0,0.0,,T#6,
2021,4.04,Brevin Jordan,BROsenzweig,BROsenzweig,0,0,False,5.0,6.01,2.0998,4.86,5.85,1.0802,6.01,0.5794,0.0,0.0,0.0,0.0,-1.2338,31.1,21.12,False,0.0052,0.0,876.0,-1561.6667,1473.0,-793.4,1675.0,-504.375,548.0,-1242.2188,1074.0,-1114.5,904.0,-2476.5,446.0,,#198,
2021,4.05,Nico Collins,plehv79,plehv79,0,0,False,,,,13.45,14.19,9.941,,,,0.0,0.0,0.0,-2.0046,65.8,22.45,False,0.0015,,2589.0,456.4167,2191.0,382.325,2515.0,911.4,2496.0,931.6875,5879.0,4126.5833,6636.0,4638.0,0.0,,T#293,
2021,4.06,Dee Eskridge,AceMatthew,LWebs53,0,1,False,3.8,4.01,-0.3594,1.63,1.72,-3.9046,4.01,-0.9987,0.0,0.0,0.0,0.0,-1.984,21.4,24.44,False,-0.001,0.0,0.0,-2136.3333,0.0,-2129.475,0.0,-1876.9,0.0,-1477.3438,0.0,-1676.7917,0.0,-2488.5,38.0,,#37,T#5
2021,4.07,Jaret Patterson,Oliverwkw,Oliverwkw,0,0,False,3.66,3.67,-1.0303,3.68,3.69,-1.261,3.67,-1.3299,0.0,0.0,0.0,0.0,-2.6171,37.6,21.68,False,0.0028,0.0,1364.0,-682.6333,1483.0,-645.8125,721.0,-1096.2625,421.0,-1131.75,348.0,-1023.25,0.0,0.0,366.0,,#891,
2021,4.08,Kyle Trask,AceMatthew,shmuel256,0,1,False,0.0,0.0,-4.7003,0.1,0.09,-4.861,0.0,-4.9999,0.0,0.0,0.0,0.0,-2.6171,27.6,23.48,False,0.0003,,1546.0,-500.6333,1445.0,-683.8125,1132.0,-685.2625,1168.0,-384.75,533.0,-838.25,0.0,0.0,55.0,,#41,T#4
2022,1.01,Breece Hall,JacobRosenzweig,JacobRosenzweig,50,0,False,15.16,15.34,2.357,15.16,15.34,4.2142,51.267,15.4237,0.7353,748.66,14.97,15.16,4.6833,74.2,21.24,False,0.0035,0.9259,5581.0,-1031.0,6223.0,-205.7,5973.0,-510.7,8016.0,1957.875,4978.0,-361.3333,,,1413.0,2,T#150,
2022,1.02,Drake London,AceMatthew,AceMatthew,8,0,False,10.89,11.3,-2.5927,13.48,13.99,2.1622,19.888,-18.0008,0.32,56.4,7.05,7.32,-4.265,54.2,21.09,False,0.0037,0.3333,5082.0,-1319.5556,5373.0,-1182.4667,5721.0,-808.0667,6354.0,-63.25,6731.0,896.5556,,,435.0,3,T#22,
2022,1.03,Kenneth Walker,BROsenzweig,BROsenzweig,41,0,False,13.89,14.05,0.3993,13.89,14.05,2.6078,39.3099,3.9744,0.6029,554.0,13.51,13.68,2.7267,64.7,21.85,False,0.0055,0.7455,4573.0,-1284.4444,5985.0,-600.9333,4948.0,-1542.8667,4863.0,-1357.8333,4852.0,-490.6667,,,1457.0,5,,
2022,1.04,Treylon Burks,Oliverwkw,shmuel256,3,2,False,7.4,7.68,-5.8687,5.17,5.36,-6.1939,10.4448,-24.578,0.12,24.8,8.27,8.58,-3.2733,19.5,22.43,False,0.0038,0.2143,4216.0,-1381.8333,4587.0,-1938.1333,3900.0,-2347.0,1577.0,-4695.5833,593.0,-5191.7778,,,430.0,12,T#245,T#231
